Timestamp,BR,RtoR
03/04/2023 10:15:52.908,1661,0.839
03/04/2023 10:15:52.964,1660,0.839
03/04/2023 10:15:53.020,1660,0.839
03/04/2023 10:15:53.076,1660,0.839
03/04/2023 10:15:53.132,1660,0.839
03/04/2023 10:15:53.188,1660,0.839
03/04/2023 10:15:53.244,1660,0.839
03/04/2023 10:15:53.300,1661,0.839
03/04/2023 10:15:53.356,1663,0.839
03/04/2023 10:15:53.412,1670,0.839
03/04/2023 10:15:53.468,1675,0.839
03/04/2023 10:15:53.524,1686,-0.905
03/04/2023 10:15:53.580,1693,-0.905
03/04/2023 10:15:53.636,1701,-0.905
03/04/2023 10:15:53.692,1714,-0.905
03/04/2023 10:15:53.748,1716,-0.905
03/04/2023 10:15:53.804,1719,-0.905
03/04/2023 10:15:53.860,1720,-0.905
03/04/2023 10:15:53.916,1722,-0.905
03/04/2023 10:15:53.972,1728,-0.905
03/04/2023 10:15:54.028,1732,-0.905
03/04/2023 10:15:54.084,1740,-0.905
03/04/2023 10:15:54.140,1745,-0.905
03/04/2023 10:15:54.196,1750,-0.905
03/04/2023 10:15:54.252,1773,0.914
03/04/2023 10:15:54.308,1793,0.914
03/04/2023 10:15:54.364,1809,0.914
03/04/2023 10:15:54.420,1748,0.914
03/04/2023 10:15:54.476,1365,0.914
03/04/2023 10:15:54.532,905,0.914
03/04/2023 10:15:54.588,835,0.914
03/04/2023 10:15:54.644,805,0.914
03/04/2023 10:15:54.700,804,0.914
03/04/2023 10:15:54.756,804,0.914
03/04/2023 10:15:54.812,805,0.914
03/04/2023 10:15:54.868,805,0.914
03/04/2023 10:15:54.924,1477,0.914
03/04/2023 10:15:54.980,1686,0.914
03/04/2023 10:15:55.036,1764,0.914
03/04/2023 10:15:55.092,1803,0.914
03/04/2023 10:15:55.148,1805,0.914
03/04/2023 10:15:55.204,1800,0.914
03/04/2023 10:15:55.260,1798,-0.885
03/04/2023 10:15:55.316,1797,-0.885
03/04/2023 10:15:55.372,1796,-0.885
03/04/2023 10:15:55.428,1795,-0.885
03/04/2023 10:15:55.484,1788,-0.885
03/04/2023 10:15:55.540,1788,-0.885
03/04/2023 10:15:55.596,1794,-0.885
03/04/2023 10:15:55.652,1802,-0.885
03/04/2023 10:15:55.708,1802,-0.885
03/04/2023 10:15:55.764,1746,0.43
03/04/2023 10:15:55.820,1365,0.43
03/04/2023 10:15:55.876,1074,0.43
03/04/2023 10:15:55.932,832,0.43
03/04/2023 10:15:55.988,812,0.43
03/04/2023 10:15:56.044,805,0.43
03/04/2023 10:15:56.100,804,0.43
03/04/2023 10:15:56.156,804,0.43
03/04/2023 10:15:56.212,805,0.43
03/04/2023 10:15:56.268,938,0.43
03/04/2023 10:15:56.324,1696,0.43
03/04/2023 10:15:56.380,1780,0.43
03/04/2023 10:15:56.436,1814,0.43
03/04/2023 10:15:56.492,1828,0.43
03/04/2023 10:15:56.548,1829,0.43
03/04/2023 10:15:56.604,1832,0.43
03/04/2023 10:15:56.660,1834,0.43
03/04/2023 10:15:56.716,1835,0.43
03/04/2023 10:15:56.772,1385,-1.123
03/04/2023 10:15:56.828,1089,-1.123
03/04/2023 10:15:56.884,843,-1.123
03/04/2023 10:15:56.940,819,-1.123
03/04/2023 10:15:56.996,814,-1.123
03/04/2023 10:15:57.052,816,-1.123
03/04/2023 10:15:57.108,819,-1.123
03/04/2023 10:15:57.164,820,-1.123
03/04/2023 10:15:57.220,963,-1.123
03/04/2023 10:15:57.276,1560,-1.123
03/04/2023 10:15:57.332,1875,-1.123
03/04/2023 10:15:57.388,1905,-1.123
03/04/2023 10:15:57.444,1918,-1.123
03/04/2023 10:15:57.500,1919,-1.123
03/04/2023 10:15:57.556,1912,-1.123
03/04/2023 10:15:57.612,1897,-1.123
03/04/2023 10:15:57.668,1890,-1.123
03/04/2023 10:15:57.724,1421,-1.123
03/04/2023 10:15:57.780,1114,-1.123
03/04/2023 10:15:57.836,928,-1.123
03/04/2023 10:15:57.892,819,-1.123
03/04/2023 10:15:57.948,811,-1.123
03/04/2023 10:15:58.004,808,-1.123
03/04/2023 10:15:58.060,808,-1.123
03/04/2023 10:15:58.116,808,-1.123
03/04/2023 10:15:58.172,949,-1.123
03/04/2023 10:15:58.228,1529,-1.123
03/04/2023 10:15:58.284,1857,-1.123
03/04/2023 10:15:58.340,1904,-1.123
03/04/2023 10:15:58.396,1936,-1.123
03/04/2023 10:15:58.452,1955,-1.123
03/04/2023 10:15:58.508,1960,-1.123
03/04/2023 10:15:58.564,1974,-1.123
03/04/2023 10:15:58.620,1984,-1.123
03/04/2023 10:15:58.676,1919,-1.123
03/04/2023 10:15:58.732,1173,-1.123
03/04/2023 10:15:58.788,972,-1.123
03/04/2023 10:15:58.844,850,-1.123
03/04/2023 10:15:58.900,838,-1.123
03/04/2023 10:15:58.956,834,-1.123
03/04/2023 10:15:59.012,836,-1.123
03/04/2023 10:15:59.068,837,-1.123
03/04/2023 10:15:59.124,989,-1.123
03/04/2023 10:15:59.180,1636,-1.123
03/04/2023 10:15:59.236,1912,-1.123
03/04/2023 10:15:59.292,2064,2.503
03/04/2023 10:15:59.348,2076,2.503
03/04/2023 10:15:59.404,2076,2.503
03/04/2023 10:15:59.460,2072,2.503
03/04/2023 10:15:59.516,2066,-0.224
03/04/2023 10:15:59.572,2050,-0.224
03/04/2023 10:15:59.628,1971,-0.224
03/04/2023 10:15:59.684,1204,-0.224
03/04/2023 10:15:59.740,983,-0.224
03/04/2023 10:15:59.796,879,-0.224
03/04/2023 10:15:59.852,824,-0.224
03/04/2023 10:15:59.908,819,-0.224
03/04/2023 10:15:59.964,816,-0.224
03/04/2023 10:16:00.020,816,-0.224
03/04/2023 10:16:00.076,816,-0.224
03/04/2023 10:16:00.132,1562,-0.224
03/04/2023 10:16:00.188,1797,-0.224
03/04/2023 10:16:00.244,1919,-0.224
03/04/2023 10:16:00.300,1933,-0.224
03/04/2023 10:16:00.356,1938,-0.224
03/04/2023 10:16:00.412,1940,-0.224
03/04/2023 10:16:00.468,1941,-0.224
03/04/2023 10:16:00.524,1948,-0.224
03/04/2023 10:16:00.580,1879,-0.224
03/04/2023 10:16:00.636,1469,-0.224
03/04/2023 10:16:00.692,949,-0.224
03/04/2023 10:16:00.748,859,-0.224
03/04/2023 10:16:00.804,817,-0.224
03/04/2023 10:16:00.860,814,-0.224
03/04/2023 10:16:00.916,813,-0.224
03/04/2023 10:16:00.972,814,-0.224
03/04/2023 10:16:01.028,814,-0.224
03/04/2023 10:16:01.084,1547,-0.224
03/04/2023 10:16:01.140,1775,-0.224
03/04/2023 10:16:01.196,1859,-0.224
03/04/2023 10:16:01.252,1903,-0.224
03/04/2023 10:16:01.308,1908,-0.224
03/04/2023 10:16:01.364,1914,-0.224
03/04/2023 10:16:01.420,1916,-0.224
03/04/2023 10:16:01.476,1919,-0.224
03/04/2023 10:16:01.532,1859,-0.224
03/04/2023 10:16:01.588,1452,-0.224
03/04/2023 10:16:01.644,945,-0.224
03/04/2023 10:16:01.700,862,-0.224
03/04/2023 10:16:01.756,832,-0.224
03/04/2023 10:16:01.812,821,-0.224
03/04/2023 10:16:01.868,821,-0.224
03/04/2023 10:16:01.924,823,-0.224
03/04/2023 10:16:01.980,824,-0.224
03/04/2023 10:16:02.036,974,-0.224
03/04/2023 10:16:02.092,1858,-0.224
03/04/2023 10:16:02.148,1959,-0.224
03/04/2023 10:16:02.204,2012,-0.224
03/04/2023 10:16:02.260,2019,-0.224
03/04/2023 10:16:02.316,2020,-0.224
03/04/2023 10:16:02.372,2014,-0.224
03/04/2023 10:16:02.428,2009,-0.224
03/04/2023 10:16:02.484,1924,-0.224
03/04/2023 10:16:02.540,1504,-0.224
03/04/2023 10:16:02.596,1175,-0.224
03/04/2023 10:16:02.652,867,-0.224
03/04/2023 10:16:02.708,831,-0.224
03/04/2023 10:16:02.764,815,-0.224
03/04/2023 10:16:02.820,814,-0.224
03/04/2023 10:16:02.876,814,-0.224
03/04/2023 10:16:02.932,814,-0.224
03/04/2023 10:16:02.988,956,-0.224
03/04/2023 10:16:03.044,1775,-0.224
03/04/2023 10:16:03.100,1859,-0.224
03/04/2023 10:16:03.156,1891,-0.224
03/04/2023 10:16:03.212,1907,-0.224
03/04/2023 10:16:03.268,1907,-0.224
03/04/2023 10:16:03.324,1907,-0.224
03/04/2023 10:16:03.380,1908,-0.224
03/04/2023 10:16:03.436,1912,-0.224
03/04/2023 10:16:03.492,1446,-0.224
