Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:16:58.428,68,30.9,-3276.8,170,0.03,0.06,3.917,62360.000,0.001120,0.000180,0.87,0.95,-0.21,-0.13,-0.07,0.01
03/04/2023 10:16:59.428,65,31.0,-3276.8,173,0.10,0.16,3.917,63170.000,0.001120,0.000180,0.87,0.97,-0.22,0.03,-0.09,0.08
03/04/2023 10:17:00.428,63,29.6,-3276.8,175,0.06,0.13,3.917,56752.000,0.001360,0.000260,0.89,0.96,-0.08,0.04,-0.07,-0.01
03/04/2023 10:17:01.428,63,27.2,-3276.8,175,0.03,0.06,3.917,54851.000,0.001360,0.000180,0.89,0.98,-0.08,0.01,-0.08,-0.02
03/04/2023 10:17:02.428,62,25.8,-3276.8,176,0.02,0.06,3.917,54032.000,0.001280,0.000200,0.89,0.98,-0.07,0.02,-0.08,-0.01
03/04/2023 10:17:03.428,61,25.0,-3276.8,177,0.02,0.03,3.917,45913.000,0.001280,0.000220,0.89,0.96,-0.04,0.01,-0.07,-0.02
03/04/2023 10:17:04.428,61,24.0,-3276.8,177,0.01,0.06,3.917,50491.000,0.001120,0.000240,0.86,0.96,-0.08,0.01,-0.08,-0.01
03/04/2023 10:17:05.428,61,23.2,-3276.8,178,0.05,0.09,3.917,54060.000,0.001120,0.000220,0.89,0.97,-0.02,0.04,-0.04,0.07
03/04/2023 10:17:06.428,61,22.7,-3276.8,179,0.06,0.16,3.917,56989.000,0.001120,0.000480,0.89,0.98,-0.18,0.06,-0.08,0.10
03/04/2023 10:17:07.428,61,21.7,-3276.8,173,0.12,0.16,3.917,57939.000,0.001120,0.000380,0.87,0.95,-0.20,-0.15,-0.14,-0.02
03/04/2023 10:17:08.428,61,21.4,-3276.8,177,0.10,0.20,3.917,59628.000,0.001080,0.000280,0.89,0.97,-0.15,0.16,-0.04,0.08
03/04/2023 10:17:09.428,61,21.7,-3276.8,176,0.11,0.15,3.917,61136.000,0.001080,0.000340,0.83,1.03,-0.20,0.13,-0.13,0.07
03/04/2023 10:17:10.428,61,21.9,-3276.8,175,0.13,0.19,3.917,62259.000,0.001000,0.000380,0.85,1.07,-0.19,0.10,-0.15,0.14
03/04/2023 10:17:11.428,60,22.0,-3276.8,173,0.15,0.28,3.917,63095.000,0.001000,0.000600,0.80,1.21,-0.24,0.13,-0.13,0.18
